Source,Target,Type,id,label,timeset,weight
114,1307,Directed,2028,,,1.0
114,775,Directed,2029,,,1.0
961,187,Directed,2030,,,1.0
961,411,Directed,2031,,,1.0
961,853,Directed,2032,,,1.0
961,772,Directed,2033,,,1.0
42,43,Directed,2034,,,1.0
42,44,Directed,2035,,,1.0
42,45,Directed,2036,,,1.0
42,46,Directed,2037,,,1.0
42,324,Directed,2038,,,1.0
42,607,Directed,2039,,,1.0
1289,822,Directed,2040,,,1.0
122,120,Directed,2041,,,1.0
122,121,Directed,2042,,,1.0
122,123,Directed,2043,,,1.0
122,124,Directed,2044,,,1.0
122,305,Directed,2045,,,1.0
122,1227,Directed,2046,,,1.0
122,1228,Directed,2047,,,1.0
37,36,Directed,2048,,,1.0
37,38,Directed,2049,,,1.0
37,39,Directed,2050,,,1.0
633,474,Directed,2051,,,1.0
633,634,Directed,2052,,,1.0
342,270,Directed,2053,,,1.0
191,192,Directed,2054,,,1.0
191,941,Directed,2055,,,1.0
191,248,Directed,2056,,,1.0
191,942,Directed,2057,,,1.0
191,790,Directed,2058,,,1.0
191,943,Directed,2059,,,1.0
191,139,Directed,2060,,,1.0
191,634,Directed,2061,,,1.0
191,944,Directed,2062,,,1.0
322,53,Directed,2063,,,1.0
974,975,Directed,2064,,,1.0
974,216,Directed,2065,,,1.0
974,266,Directed,2066,,,1.0
974,272,Directed,2067,,,1.0
974,976,Directed,2068,,,1.0
1227,122,Directed,2069,,,1.0
1227,1228,Directed,2070,,,1.0
871,497,Directed,2071,,,1.0
871,782,Directed,2072,,,1.0
482,480,Directed,2073,,,1.0
482,481,Directed,2074,,,1.0
482,483,Directed,2075,,,1.0
482,476,Directed,2076,,,1.0
482,117,Directed,2077,,,1.0
482,470,Directed,2078,,,1.0
482,472,Directed,2079,,,1.0
482,484,Directed,2080,,,1.0
483,480,Directed,2081,,,1.0
483,481,Directed,2082,,,1.0
483,482,Directed,2083,,,1.0
483,476,Directed,2084,,,1.0
483,117,Directed,2085,,,1.0
483,470,Directed,2086,,,1.0
483,472,Directed,2087,,,1.0
483,484,Directed,2088,,,1.0
483,799,Directed,2089,,,1.0
231,54,Directed,2090,,,1.0
231,223,Directed,2091,,,1.0
231,53,Directed,2092,,,1.0
231,232,Directed,2093,,,1.0
616,928,Directed,2094,,,1.0
616,602,Directed,2095,,,1.0
616,526,Directed,2096,,,1.0
616,929,Directed,2097,,,1.0
476,473,Directed,2098,,,1.0
476,474,Directed,2099,,,1.0
476,475,Directed,2100,,,1.0
476,114,Directed,2101,,,1.0
476,477,Directed,2102,,,1.0
476,478,Directed,2103,,,1.0
476,479,Directed,2104,,,1.0
476,480,Directed,2105,,,1.0
476,481,Directed,2106,,,1.0
476,482,Directed,2107,,,1.0
476,483,Directed,2108,,,1.0
476,117,Directed,2109,,,1.0
476,470,Directed,2110,,,1.0
476,472,Directed,2111,,,1.0
476,484,Directed,2112,,,1.0
165,166,Directed,2113,,,1.0
165,167,Directed,2114,,,1.0
165,424,Directed,2115,,,1.0
165,425,Directed,2116,,,1.0
165,607,Directed,2117,,,1.0
702,703,Directed,2118,,,1.0
702,146,Directed,2119,,,1.0
702,401,Directed,2120,,,1.0
702,704,Directed,2121,,,1.0
55,77,Directed,2122,,,1.0
55,78,Directed,2123,,,1.0
55,311,Directed,2124,,,1.0
55,292,Directed,2125,,,1.0
55,312,Directed,2126,,,1.0
55,374,Directed,2127,,,1.0
55,375,Directed,2128,,,1.0
55,376,Directed,2129,,,1.0
55,405,Directed,2130,,,1.0
55,406,Directed,2131,,,1.0
55,54,Directed,2132,,,1.0
55,555,Directed,2133,,,1.0
55,556,Directed,2134,,,1.0
55,557,Directed,2135,,,1.0
55,558,Directed,2136,,,1.0
55,559,Directed,2137,,,1.0
55,560,Directed,2138,,,1.0
55,817,Directed,2139,,,1.0
55,818,Directed,2140,,,1.0
55,819,Directed,2141,,,1.0
55,820,Directed,2142,,,1.0
55,822,Directed,2143,,,1.0
55,888,Directed,2144,,,1.0
55,889,Directed,2145,,,1.0
55,414,Directed,2146,,,1.0
419,390,Directed,2147,,,1.0
419,420,Directed,2148,,,1.0
419,793,Directed,2149,,,1.0
751,752,Directed,2150,,,1.0
751,753,Directed,2151,,,1.0
751,754,Directed,2152,,,1.0
751,30,Directed,2153,,,1.0
751,935,Directed,2154,,,1.0
751,364,Directed,2155,,,1.0
751,68,Directed,2156,,,1.0
751,245,Directed,2157,,,1.0
751,158,Directed,2158,,,1.0
